,,,,,Rosa,,,,,Edward,,,,Harish,,,
MWE,Literal Meaning,Non-Literal Meaning,"Only Literal (X), Ignore Idiom (I)",,Literal Meaning,Non-Literal Meaning,Non-Literal Meaning add,Pilot annotation?,,Literal Meaning,Non-Literal Meaning,Non-Literal Meaning add,,Literal Meaning,Non-Literal Meaning,Non-Literal Meaning add,Non-Literal Meaning add 2 
bankruptcy proceeding,default action,court case,X,,,,,,,None,,,,None,,,
black operation,dark action,secret operation,,,,,,,,,,,,inky operation,covert operation,,
field work,area activity,research,,,,,,,,,,,,pasture work,practical acadamic work,temporary fortification,
marketing consultant,merchandising advisor,sales advisor,X,,,,,,,None,,,,None,,,
box office,crate agency,movie industry,,,,,,,,,,,,crate office,,,
noise complaint,disturbance ailment,protest,X,,,,,,,,,,,None,,,
pipe dream,tube ambition,unrealistic,,,,,,,,None,,,,tube dream,,,
honey trap,sweetener ambush,lure,,,,,,,,,,,,sweetener trap,,,
acid test,sour analysis,crucial appraisal,,,,,,,,,,,,acidic test,conclusive test,,
case study,instance analysis,study,X,,,,,,,None,,,,None,,,
chain reaction,succession answer,series of reactions,X,,,,,,,None,,,,None,self-sustaining chemical reaction,series of events,
ancient history,past antiquity,history,X,,,,,,,,,,,None,,,
china clay,asia argil,fine clay,,,,,,,,,,,,asia clay,,,
divine service,celestial assistance,religious service,X,,,,,,,,,,,None,,service to God,
economic aid,budgetary assistance,financial assistance,X,,,,,,,,,,,None,,,
lip service,mouth assistance,insincere agreement,,,,,,,,,,,,mouth service,,,
mail service,post assistance,postal service,X,,,,,,,None,,,,None,,,
computer expert,workstation authority,computer specialist,X,,,,,,,None,,,,None,,,
cable car,cord automobile,trolley,X,,,,,,,,,,,None,,,
panda car,bear automobile,police car,,,,,,,,,,,,bear car,,,
credit card,balance badge,monetary card,X,,,,,,,,,,,None,bank card,,
basket case,crate bag,crazy person,,,,,,,,,,,,basket,,region in economic difficulties,
life belt,existence band,flotation devise,,,,,,,,,,,,existence belt,,,
rock bottom,mineral basement,lowest point,,,,,,,,,,,,gravel bottom,worst situation,,
swimming pool,floating bath,pool,X,,,,,,,None?,<--,,,None,,,
public service,open benefit,governmental service,,,,,,,,,public help ,,,service helping people,public help ,,
sitting duck,posing bird,victim,,,,,,,,sitting bird ,easy target,,,seated duck,easy target,,
balance sheet,residue blanket,financial record,,,,,,,,financial sheet?,,,,stability sheet,financial statement,,
cheat sheet,trick blanket,quick reference,,,,,,,,cheat page  / trick sheet,,,,cheat page,,,
black cherry,dark blueberry,cherry,X,,,,,,,,,,,None,,,
guinea pig,ethnicity boar,test subject,,,,,,,,,,,,pig,,,
human being,person body,person,X,,,,,,,human entity,person ,,,None,,,
milk tooth,liquid bone,baby tooth,,,,,,,,,,,,buttermilk tooth,,,
cutting edge,incisive boundary,innovation,,,,,,,,,,,,slicing edge,most advanced,,
fine line,mulct boundary,subtle difference,,,,,,,,,"""walking a fine line""?",,,thin line,,,
firing line,fire boundary,shooting line,I,,,,,,,,,,,"Part of ""in the firing line?",,,
speed limit,velocity boundary,maximum speed,X,,,,,,,None?,<--,,,None,,,
sacred cow,divine bovine,immune person,,,,,,,,,,,,divine cow,above criticism ,,
fall guy,drop boy,scapegoat,,,,,,,,,,,,drop guy,,,
street girl,avenue boy,prostitute,,,,,,,,,,,,girl living on street,,,
