MWE,Literal Meaning,Non-Literal Meaning,Is compositional,,NEW Literal Meaning,NEW Non-Literal Meaning,Non-Literal Meaning Added,Comments,NEW Literal Meaning (2),NEW Non-Literal Meaning  (2),Non-Literal Meaning Added  (2),Comments,
abalo sísmico,trepidação enérgica,tremor de terra,I,,tremor de terra,,,"""tremor de terra"" is a synonym for ""terremoto"" (both literal meaning). There isn't any non-literal meaning for it.",,,,,0
acampamento militar,camping bélico,acampamento do exército,I,,acampamento do exército,None,,"*Its LITERAL meaning is ""acampamento do exército"". There's no Non-literal meaning fot it.",,,,,1
agente secreto,agenciador oculto,espião,,,,,,is not commonly used in its literal meaning,,,,,0
água doce,fluido açucarado,água potável,,,líquido açucarado,None,,is not commonly used in its literal meaning,,,,,1
água  mineral,fluido inorgânico,água,,,líquido inorgânico,água de fonte natural,,It is only used in its non-literal meaning,,,,,0
alarme falso,aviso fingido,engano,,,,,,is not commonly used in its literal meaning,,,,,0
algodão-doce,algodoeiro açucarado,doce,,,,tipo de doce,,*There weren't many examples. Much more common without the hyphen (same meaning). It is only used in its non-literal meaning.,,,,,0
alta temporada,elevada época,época de férias,,,,,,It is only used in its non-literal meaning,,,,,0
alta-costura,elevada sutura,alta qualidade,,,,roupa exclusivas,conjunto de grandes costureiros,It is only used in its non-literal meaning,,,,,0
alto mar,elevado oceano,mar aberto,,,,None,,The non-literal meaning is also found without the hyphen,,,,,1
alto-falante,elevado locutor,caixa de som,,,,None,,It is only used in its non-literal meaning,,,,It is only used in its non-literal meaning,1
amigo oculto,companheiro escondido,amigo secreto,,,,bricadeira de presentear,,is not commonly used in its literal meaning,,,,,0
amigo secreto,companheiro oculto,amigo oculto,,,,bricadeira de presentear,,is not commonly used in its literal meaning,,,,,0
amor-próprio,afeto pessoal,auto estima,,,amor particular,None,,It is only used in its non-literal meaning,,,,,1
ano-novo,data recente,reveillon,,,ano inédito,None,,,,,,,1
ar condicionado,brisa dependente,climatizador,,,ar resfriado,None,,I only found it in its non-literal meaning,,,,,1
ar livre,brisa liberta,céu aberto,,,,None,,It is only used in its non-literal meaning,,,,,1
arma branca,pistola alva,faca,,,,None,,It is only used in its non-literal meaning,,,,,1
ato falho,ação falhada,erro,,,,,,It is only used in its non-literal meaning,,,,,0
banho turco,mergulho otomano,sauna,,,imersão da Turquia,,,It is only used in its non-literal meaning,,,,,0
batata-doce,tubérculo açucarado,batata,,,,None,,It is only used in its non-literal meaning,,variedade de batata,,,1
bebida alcoólica,líquido etílico,álcool,,,bebida com álcool,,,There isn't any non-literal meaning.,,,,,1
bode expiatório,mestiço remissório,culpada,,,bode castigado,culpado injustamente,,It is only used in its non-literal meaning,,,,,0
braço direito,membro destro,ajudante,,,,ajudante principal,,,,,,,0
buraco negro,furo preto,vortex,,,,supermassiva morta ,algo desconhecido,,,,,,0
café colonial,cafezeiro colonialista,café da manhã,,,cafeeiro colonialista,refeição sortida,restaurante colonial,,,,,,0
caixa-forte,arca dura,cofre,,,arca resistente,,,"with the hyphen, it's only used in its non-literal meaning",,,,,0
caixa-preta,arca negra,segredo,,,,,gravador aeronáutico,"This idiom also has another non-literal meaning (in informatics), which is ""sistema oculto"", even though we only use it without a hyphen (same way as the literal meaning).",,,,,0
caixeiro viajante,empregado viageiro,vendedor ambulante,,,,,,,,,,,0
câmara fria,compartimento fresco,refrigerador,,,,sala de armazenamento refrigerada,,,,,,,0
carne branca,bife alvo,carne de peixe,,,,None,Carne de peixe e frango,,,,,,1
carne vermelha,bife encarnado,carne bovina,,,,None,,,,,,,1
carro-forte,viatura dura,carro blindado,,,,None,,,,,,It is only used in its non-literal meaning,1
carta aberta,correspondência acessível,carta pública,,,,,,,,,,,0
centro comercial,congregação mercantil,shopping,I,,,None,,"Unlike to what I've put in the system, there is no ""other"" meaning.",,,,,1
centro espírita,congregação espiritista,centro religioso,,,,None,,,,,,,1
cerca viva,vedação ativa,cerca de plantas,,,,,,,,,,It is only used in its non-literal meaning,0
céu aberto,firmamento acessível,ar livre,,,,,Céu limpo,,,,,,0
cheiro-verde,odor esverdeado,tempero,,,,None,,Only used in its non-literal meaning,,,,,1
circuito integrado,contorno incluído,chip,,,,None,,,,,,,1
círculo vicioso,circunferência viciada,ciclo vicioso,,,,,,,,,,It is only used in its non-literal meaning,0
