  ,Literal Meaning,Non-Literal Meaning,Is compositional,,NEW Literal Meaning,NEW Non-Literal Meaning,Non-Literal Meaning Added,Comments,NEW Literal Meaning (2),NEW Non-Literal Meaning  (2),Non-Literal Meaning Added  (2),Comments,
abalo sísmico,tremor de terra,,,,,None,,"""tremor de terra"" is a synonym for ""terremoto"" (both literal meaning). There isn't any non-literal meaning for it.",,,,,1
acampamento militar,acampamento do exército,,,,acampamento do exército,None,,"*Its LITERAL meaning is ""acampamento do exército"". There's no Non-literal meaning fot it.",,,,,1
agente secreto,espião,,,,,None,,is not commonly used in its literal meaning,,,,,1
água doce,água potável,,,,,None,,is not commonly used in its literal meaning,,,,,1
água  mineral,fluido inorgânico,água,,,líquido inorgânico,água de fonte natural,,It is only used in its non-literal meaning,,,,,0
alarme falso,engano,,,,,None,,is not commonly used in its literal meaning,,,,,1
algodão-doce,algodoeiro açucarado,doce,,,,tipo de doce,,*There weren't many examples. Much more common without the hyphen (same meaning). It is only used in its non-literal meaning.,,,,,0
alta temporada,elevada época,época de férias,,,,,,It is only used in its non-literal meaning,,,,,0
alta-costura,elevada sutura,alta qualidade,,,,roupa exclusivas,conjunto de grandes costureiros,It is only used in its non-literal meaning,,,,,0
alto mar,mar aberto,,,,,None,,The non-literal meaning is also found without the hyphen,,,,,1
alto-falante,caixa de som,,,,,None,,It is only used in its non-literal meaning,,,,,1
amigo oculto,companheiro escondido,amigo secreto,,,,brincadeira de presentear,,is not commonly used in its literal meaning,,,,,0
amigo secreto,companheiro oculto,amigo oculto,,,,brincadeira de presentear,,is not commonly used in its literal meaning,,,,,0
amor-próprio,auto estima,,,,,None,,It is only used in its non-literal meaning,,,,,1
ano-novo,reveillon,,,,,None,,,,,,,1
ar condicionado,climatizador,,,,,None,,I only found it in its non-literal meaning,,,,,1
ar livre,céu aberto,,,,,None,,It is only used in its non-literal meaning,,,,,1
arma branca,faca,,,,,None,,It is only used in its non-literal meaning,,,,,1
ato falho,ação falhada,erro,,,,,,It is only used in its non-literal meaning,,,,,0
banho turco,mergulho otomano,sauna,,,imersão da turquia,,,It is only used in its non-literal meaning,,,,,0
batata-doce,batata,,,,,None,,It is only used in its non-literal meaning,,,,,1
bebida alcoólica,álcool,,,,bebida com álcool,None,,There isn't any non-literal meaning.,,,,,1
bode expiatório,mestiço remissório,culpada,,,bode castigado,culpado injustamente,,It is only used in its non-literal meaning,,,,,0
braço direito,membro destro,ajudante,,,,ajudante principal,,,,,,,0
buraco negro,furo preto,vortex,,,,horizonte de eventos,algo desconhecido,,,,,,0
café colonial,cafezeiro colonialista,café da manhã,,,cafeeiro colonialista,,restaurante colonial,,,,,,0
caixa-forte,arca dura,cofre,,,arca resistente,,,"with the hyphen, it's only used in its non-literal meaning",,,,,0
caixa-preta,arca negra,segredo,,,,,gravador aeronáutico,"This idiom also has another non-literal meaning (in informatics), which is ""sistema oculto"", even though we only use it without a hyphen (same way as the literal meaning).",,,,,0
caixeiro viajante,empregado viageiro,vendedor ambulante,,,,,,,,,,,0
câmara fria,compartimento fresco,refrigerador,,,,sala de armazenamento refrigerada,,,,,,,0
carne branca,bife alvo,carne de peixe e frango,,,,,,,,,,,0
carne vermelha,bife encarnado,carne bovina,,,,,,,,,,,0
carro-forte,viatura dura,carro blindado,,,,,,It is only used in its non-literal meaning,,,,,0
carta aberta,correspondência acessível,carta pública,,,,,,,,,,,0
